avgCost,classify,serviceRate,environmentRate,tel,tasteRate,rid,hours,address,name
212,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.75,0.75,02-8751-3227,0.8,74241,"[""08:00~22:00""]","25.08053501545,121.56821100724001",Journey Kaffe 覺旅咖啡
260,"[""異國料理"",""美式料理""]",0.7,0.8,02-2758-2609,0.8,91210,"[""09:00~18:30"",""10:00~21:30""]","25.03136200351,121.56191100612999",好，丘 good cho's
214,"[""烘焙、甜點、零食"",""中式糕餅""]",0.8,0.8,04-2451-0199,0.85,617022,"[""09:00~22:00""]","24.169659088213706,120.63888430667397",阿聰師芋頭酥的糕餅主意(台中秋紅谷館)
284,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.75,02-2716-0138,0.8,22622,"[""09:30~21:30""]","25.05881900334,121.54672501539",CHIFFON
0,"[""小吃"",""其他小吃""]",0,0,,0,1116752,[],"24.13425880051,120.70097401441001",蜜夯吉-蜜蕃薯烤地瓜(旱溪夜市)
401,"[""主題特色餐廳"",""運動主題餐廳""]",0.85,0.85,02-2627-0708,0.8,587282,"[""11:00~22:00""]","25.08009561379,121.56727650471993",Aqua Kiss 水吻2(Surfer店)
362,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.85,02-2364-1666,0.8,88698,"[""10:00~23:00""]","25.01573971858,121.53168801384003",貳樓餐廳 Second Floor Cafe(公館店)
1317,"[""燒烤類"",""鐵板燒""]",0.9,0.9,02-2731-9966,0.85,118974,"[""17:30~22:00"",""11:30~14:30""]","25.04174601704,121.5500110094",Mosun 墨賞新鐵板料理
1392,"[""buffet自助餐"",""複合式""]",0.8,0.9,02-2181-9999,0.8,78277,"[""18:00~21:30"",""11:30~14:30""]","25.049456217960003,121.51687040599002",君品酒店-雲軒西餐廳
351,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.75,02-2700-9855,0.75,36695,"[""11:00~22:00""]","25.03081800824,121.55000800696",貳樓餐廳 Second Floor Cafe(敦南店)
2199,"[""異國料理"",""美式料理""]",0.9,0.9,02-2585-3258,0.9,28413,"[""16:30~22:30"",""11:30~14:00""]","25.068257004859998,121.52560300763001",地中海牛排館(歐華酒店)
552,"[""異國料理"",""義式料理""]",1,0.95,02-2766-9663,0.9,937878,"[""11:30~22:00""]","25.04177336209115,121.56582663151214",FrenchWindows 琺蘭綺瑥朵
457,"[""中式料理"",""粵菜 港式飲茶""]",0.7,0.6,02-2370-7078,0.75,965236,"[""10:00~22:00""]","25.04612451134,121.51694010578005",添好運台灣 Timhowan Taiwan
276,"[""咖啡、簡餐、茶"",""複合式""]",0.6,0.8,02-2522-4608,0.65,126881,"[""11:00~21:30""]","25.05237700175,121.52069960457995",Aranzi Aronzo Cafe 阿朗基阿龍佐(南西店)
398,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.8,02-2522-2020,0.85,625832,"[""11:00~20:00""]","25.05359801415,121.52219800918",LeTAO小樽洋菓子舖(中山店)
227,"[""日式料理"",""日式豬排專賣""]",0.8,0.7,02-2555-9292,0.8,958016,"[""11:30~21:00""]","25.05021091546,121.51959001763",新丼
417,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.8,02-2771-3200,0.8,43341,"[""08:00~22:00""]","25.038104010410002,121.55002801261",PAUL保羅麵包沙龍(仁愛店)
1171,"[""異國料理"",""義式料理""]",0.85,0.9,02-2705-0345,0.85,139585,"[""18:00~23:00"",""12:00~14:30""]","25.0357120016,121.54340001274001",La Giara義大利餐廳
746,"[""中式料理"",""粵菜 港式飲茶""]",0.65,0.7,02-2563-9293,0.85,6500,"[""11:30~14:00"",""16:00~21:30""]","25.05037600789,121.52449900567001",龍都酒樓
271,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.7,0.85,02-2711-7181,0.8,139031,"[""12:00~21:30"",""13:00~21:30""]","25.04344600905,121.54776700013",溫古咖啡Wengu cafe
626,"[""異國料理"",""義式料理""]",0.75,0.75,02-2711-1726,0.8,45137,"[""11:30~22:30""]","25.04347300069,121.54502501386999",Trattoria di Primo
361,"[""異國料理"",""西班牙料理""]",0.75,0.8,02-8751-3332,0.8,601656,"[""11:30~21:30""]","25.0797553197,121.56749550616",Howfun好飯食堂(瑞光店)
261,"[""日式料理"",""日式麵食專賣""]",0.8,0.75,02-2731-7897,0.8,107516,"[""11:00~23:00""]","25.04243401027,121.55116301156",屯京拉麵(台北敦南店)
102,"[""冰品、飲料、甜湯"",""冰淇淋""]",0.7,0.8,02-2395-6583,0.8,596256,"[""12:00~22:00""]","25.03255940624,121.53022700403997",8%ice 冰淇淋專門店
381,"[""異國料理"",""義式料理""]",0.6,0.75,02-2775-3393,0.7,597140,"[""11:00~22:00""]","25.04329470992,121.54507101152001",美好年代
115,"[""主題特色餐廳"",""食補藥膳餐廳""]",0.9,0.85,04-2301-3949,0.9,134025,"[""12:00~22:00""]","24.15059341135835,120.66146424275348",K5樂活冰品館(台中旗艦店)
460,"[""異國料理"",""義式料理""]",0.85,0.8,02-8286-8826,0.85,581595,"[""17:30~21:00"",""11:30~14:00""]","25.08574001645,121.46175700665",石窯屋 Forno Pizzeria No-1
246,"[""日式料理"",""其他日式料理""]",0.8,0.75,02-8751-9987,0.9,82595,"[""12:00~14:00"",""17:00~22:00""]","25.08098100926,121.57726601809",轉角關東煮 かどおでん
393,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.9,0.85,02-2364-9777,0.9,636234,"[""12:00~20:00""]","25.022213617793735,121.5266006008417",Color C'ode
303,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.75,02-2700-3501,0.85,587120,"[""12:00~20:00""]","25.03631871812,121.55360210572",Le Ruban patisserie法朋烘培甜點坊
315,"[""鍋類"",""涮涮鍋""]",0.85,0.8,02-2596-9568,0.8,47480,"[""11:00~01:00"",""00:00~01:00""]","25.06282181323,121.52547790403995",涮鮮日式火鍋(民權旗艦店)
277,"[""異國料理"",""美式料理""]",0.7,0.7,02-2700-1680,0.75,16548,"[""09:00~22:30""]","25.026593009139997,121.53960000324",the Diner樂子美式餐廳(瑞安店)
224,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.8,04-2708-2268,0.85,37453,"[""08:30~22:30""]","24.168183019529998,120.64082300102",先麥芋頭酥(台中中港店)
345,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.85,02-2721-5661,0.8,609702,"[""12:00~24:00""]","25.03947600459,121.55553400366",Toast Chat
122,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.7,02-8923-5856,0.8,80788,"[""09:00~20:00""]","25.002468018280002,121.52367801904",漢坊餅藝
187,"[""中式料理"",""麵食點心""]",0.6,0.45,02-2752-2556,0.85,23457,"[""11:00~14:30""]","25.04681800144,121.54134800398",林東芳牛肉麵
0,"[""小吃"",""其他小吃""]",0,0,,0,1117835,[],"24.13425880346,120.70097400553",大江君豆干達人(旱溪夜市)
755,"[""亞洲料理"",""泰式料理""]",0.8,0.8,02-8786-0029,0.8,9623,"[""18:00~21:30"",""12:00~14:30""]","25.039357013649997,121.56585601073999",泰市場海鮮自助餐廳(誠品信義旗鑑店)
247,"[""日式料理"",""生魚片、壽司專賣""]",0.75,0.75,02-2559-6510,0.8,66586,"[""17:30~20:30"",""11:40~14:00""]","25.05196500071,121.51969900889",平成十九日式料理
161,"[""異國料理"",""北歐料理""]",0.6,0.7,02-2276-5388,0.75,31744,"[""11:00~20:30""]","25.04157369949059,121.46477939138364",IKEA瑞典餐廳(新莊店)
135,"[""早餐"",""其他類型早餐""]",0.75,0.7,02-2253-2087,0.8,107143,"[""08:00~16:00""]","25.02787301773,121.46998201227007",好初早餐
280,"[""主題特色餐廳"",""景觀餐廳""]",0.7,0.9,04-2439-2743,0.75,71362,"[""11:00~22:00"",""10:00~22:00""]","24.16231098153,120.76749504497",心之芳庭
861,"[""燒烤類"",""火烤兩吃""]",0.75,0.75,02-2765-5859,0.75,611652,"[""11:30~24:00""]","25.04178800923,121.56528701511",好客 音樂料理現場LIVE演唱(市府店)
265,"[""異國料理"",""美式料理""]",0.7,0.65,02-2713-5923,0.9,43268,"[""11:30~21:30""]","25.061849002589998,121.54656901076001",Bravo Burger 發福廚房
569,"[""鍋類"",""麻辣火鍋""]",0.8,0.75,02-2754-2388,0.85,157109,"[""18:00~01:00"",""00:00~01:00""]","25.03580900225,121.54385401166",饕鍋
867,"[""燒烤類"",""火烤兩吃""]",0.75,0.75,02-8772-8832,0.75,600598,"[""11:30~24:00""]","25.04150840463,121.54610510091001",好客 酒吧燒烤(忠孝店)
228,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.75,0.85,02-2706-2322,0.8,106083,"[""12:00~22:00""]","25.02695601743,121.53983600805999",Pillow Cafe
129,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.85,0.7,02-2759-3568,0.9,93186,"[""12:00~22:00""]","25.03947900094,121.57803700635999",MR.PAPA WAFFLE&CAFE 比利時鬆餅專賣店(永春店)
329,"[""異國料理"",""義式料理""]",0.7,0.75,02-2740-1680,0.75,46211,"[""11:30~22:00""]","25.04050900129,121.55021100516001",GoGo Pasta(敦南旗艦店)
0,"[""小吃"",""其他小吃""]",0,0,0938-795-366,0,1094084,[],"22.653542105019998,120.30123700819",達胖美食餐車
1126,"[""鍋類"",""麻辣火鍋""]",0.9,0.9,02-2883-1599,0.85,143005,"[""17:30~22:30"",""11:30~15:00""]","25.093216011200003,121.52713100366",寬巷子鍋品美食
425,"[""異國料理"",""法式料理""]",0.75,0.75,02-2722-0700,0.75,69430,"[""11:30~21:30""]","25.03601801411,121.56657501874",PAUL保羅麵包沙龍(信義店)
473,"[""異國料理"",""義式料理""]",0.8,0.85,02-2771-1808,0.75,28411,"[""11:30~22:30""]","25.03999700067,121.55131200689999",La gondola宮都拉義式主題餐廳
184,"[""烘焙、甜點、零食"",""休閒零食""]",0.9,0.8,02-2708-5495,0.85,600302,"[""12:00~18:00""]","25.03166791584,121.55428351015999",Le Petit Waffle蕾蓓蒂比利時鬆餅專賣店
88,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0.8,0.7,02-8797-3363,0.8,598650,"[""08:00~19:00""]","25.07629601212,121.57560601994",2gether(內湖店)
355,"[""咖啡、簡餐、茶"",""複合式""]",0.65,0.8,02-2751-6021,0.75,975520,"[""11:00~23:00""]","25.04191960182,121.53907511953001",CAMPUS CAFE(忠孝店)
47,"[""中式料理"",""麵食點心""]",0.55,0.5,03-834-2933,0.75,30424,"[""06:00~20:30""]","23.97713100145,121.60920400112",公正包子
315,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.8,02-2501-6151,0.8,596838,"[""07:00~21:30""]","25.05230601249,121.53598501565",Tutti Cafe 圖比咖啡(南京)
309,"[""日式料理"",""日式麵食專賣""]",0.75,0.7,02-2562-9222,0.7,131363,"[""11:30~00:00""]","25.05046403607,121.52224403033",博多一風堂拉麵(中山店)
477,"[""燒烤類"",""炭烤串燒""]",0.75,0.8,02-2778-9222,0.75,147175,"[""17:00~24:00""]","25.043670016889997,121.547868013",櫻花羿日式精緻炭火燒肉
286,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.85,02-3322-2833,0.8,34638,"[""11:30~22:00"",""11:30~21:00""]","25.02985400723,121.52940900812",La Douceur 品悅糖法式甜品專賣
327,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.65,02-2701-2030,0.8,929478,"[""10:00~20:00"",""12:00~21:00""]","25.035738019209997,121.55351800436993",Jamling Cafe
344,"[""咖啡、簡餐、茶"",""複合式""]",0.85,0.75,02-2361-0861,0.8,110859,"[""10:00~22:00""]","25.047924012,121.51708100631001",貳樓餐廳 Second Floor Cafe(微風台北車站店)
243,"[""亞洲料理"",""韓式料理""]",0.55,0.5,02-8773-9190,0.7,85430,"[""11:00~21:50""]","25.03883400332,121.55386400665",朝鮮味韓國料理
89,"[""小吃"",""滷肉飯""]",0.6,0.45,02-2396-0808,0.8,39670,"[""08:00~01:00"",""00:00~01:00""]","25.03203300536,121.51849301600004",金峰滷肉飯
579,"[""異國料理"",""法式料理""]",0.8,0.8,02-2752-0968,0.9,961112,"[""18:00~21:00"",""12:00~14:00""]","25.04010281653,121.53577611800002",上菜囉法式餐廳 Viva la fete
188,"[""中式料理"",""其它中式料理""]",0.8,0.75,02-3393-8953,0.9,155349,"[""17:00~20:00"",""11:00~14:30""]","25.04390890258,121.5218421095",雙月食品社
917,"[""鍋類"",""涮涮鍋""]",0.9,0.85,,0.9,1068508,"[""11:30~14:30"",""17:30~21:30""]","24.17131200121,120.68552500726",肉魂和牛鑄鐵料理
373,"[""異國料理"",""美式料理""]",0.7,0.7,02-2396-7001,0.75,636252,"[""09:00~22:00""]","25.033310522287113,121.52932071760675",鄰居家 NEXT DOOR
493,"[""異國料理"",""義式料理""]",0.75,0.75,02-2367-2559,0.75,73732,"[""11:30~22:00""]","25.0193320166,121.52999600912",洋旗牛排餐廳
467,"[""日式料理"",""居酒屋""]",0.85,0.9,02-2705-8200,0.8,155149,"[""17:30~22:00"",""11:30~14:00""]","25.02850101391,121.54788901873",旅．東京 travel 鐵板小料理
519,"[""鍋類"",""麻辣火鍋""]",0.7,0.75,02-2701-6669,0.8,38372,"[""11:30~15:30"",""17:00~01:30"",""00:00~01:30""]","25.03739400259,121.55216201027",滿堂紅頂級麻辣鴛鴦火鍋(仁愛旗艦店)
1102,"[""異國料理"",""美式料理""]",0.85,0.8,02-2711-7750,0.85,16572,"[""11:00~15:00"",""17:30~23:00""]","25.03816700783,121.54715100131",沾美西餐廳
1210,"[""buffet自助餐"",""複合式""]",0.8,0.9,02-7703-8887,0.7,95584,"[""18:00~21:30"",""15:30~17:00"",""11:30~14:00""]","25.040763368711964,121.56571445244984",台北W飯店 - the kitchen table 西餐廳
383,"[""異國料理"",""美式料理""]",0.75,0.8,02-2778-0586,0.75,93925,"[""11:30~22:00""]","25.03893801147,121.55608000502",她他小餐館BISTRO TOGETHER
81,"[""冰品、飲料、甜湯"",""冰淇淋""]",0.85,0.7,02-2711-0286,0.9,634598,"[""14:30~22:00""]","25.04305500831,121.55228500862998",白鬍子 Milk Beard 鮮奶霜淇淋專賣店
617,"[""主題特色餐廳"",""酒吧 Lounge Bar""]",0.75,0.9,02-2732-3255,0.75,6925,"[""00:00~02:00"",""11:30~02:00""]","25.0282440032,121.5524410197",The Villa Herbs restaurant(樂利店)
327,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.9,0.85,04-2317-5895,0.9,153141,"[""10:00~20:00""]","24.170571000259997,120.656379018",faya法雅法式花園甜點
531,"[""日式料理"",""其他日式料理""]",0.65,0.7,02-2751-7345,0.9,255075,"[""11:30~22:00""]","25.04653400332,121.54545701898",瞞著爹(三店)
230,"[""異國料理"",""美式料理""]",0.6,0.65,02-2100-2862,0.7,40863,"[""18:00~21:30"",""12:00~14:30"",""12:00~15:30""]","25.05437400104,121.52172100801",AN Burger
578,"[""亞洲料理"",""綜合南洋料理""]",0.75,0.9,02-2629-6464,0.75,18936,"[""12:00~21:30""]","25.17207831029,121.43641071043001",榕堤水灣餐廳
599,"[""日式料理"",""生魚片、壽司專賣""]",0.8,0.85,02-2708-5682,0.85,28836,"[""17:30~21:30"",""12:30~14:30""]","25.034594013619998,121.54800001795",秋料理精緻和食
33,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0.6,0.45,02-2367-7781,0.85,37507,"[""11:00~22:30""]","25.015630899010983,121.53254743181799",陳三鼎黑糖粉圓鮮奶專賣店(原青蛙撞奶)
282,"[""日式料理"",""生魚片、壽司專賣""]",0.75,0.65,02-2578-7259,0.85,42317,"[""17:30~21:00"",""11:30~14:00""]","25.044748018129997,121.55364701283",宇澤小舖
609,"[""鍋類"",""麻辣火鍋""]",0.75,0.8,02-2720-5726,0.8,104473,"[""00:00~02:00"",""11:30~02:00""]","25.03567500886,121.56790700025",馬辣頂級麻辣鴛鴦火鍋(信義店)
302,"[""日式料理"",""日式麵食專賣""]",0.7,0.7,02-2723-7390,0.75,369322,"[""11:00~21:30"",""11:00~22:00""]","25.040846100579998,121.56539641051",三田製麵所(阪急台北店)
721,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.75,02-2361-0909,0.8,35718,[],"25.03509801131,121.50637100459001",金格食品股份有限公司
306,"[""異國料理"",""義式料理""]",0.75,0.75,02-2381-8980,0.8,74600,"[""11:30~21:00""]","25.042608001090002,121.50615200146",P&P義法創意廚房(西門店)
182,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.7,03-955-0216,0.9,40317,"[""10:00~22:30""]","24.67674701655,121.76585601237",奕順軒
290,"[""素食"",""中式""]",0.75,0.85,03-584-1193,0.75,28371,"[""10:00~18:30""]","24.73285201953,121.23301100362",薰衣草森林(尖石店)
52,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0.55,0.5,03-832-3846,0.65,30236,"[""00:00~24:00""]","23.97340501682,121.60613901018",廟口紅茶
545,"[""主題特色餐廳"",""啤酒屋""]",0.85,0.85,04-2328-8686,0.85,578076,"[""16:00~01:00"",""00:00~01:00""]","24.150956006090002,120.66857301396999",路德威手工啤酒餐廳
813,"[""烘焙、甜點、零食"",""中式糕餅""]",0.85,0.8,07-343-6933,0.85,85388,"[""08:00~18:00""]","22.679955457079544,120.31224490488036",九品元頂級黑芝麻の專門家
339,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.7,0.75,08-789-7322,0.9,56007,[],"22.534794018510002,120.55195000779001",心之和烘焙屋
104,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.8,04-2301-2469,0.85,801718,[],"24.14852940062,120.66370200703",Haritts 東京甜甜圈專賣
106,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.75,02-2392-0224,0.75,60581,[],"25.033510013289998,121.52961200041",聖瑪莉(東門店)
756,"[""主題特色餐廳"",""其它主題餐廳""]",0.75,0.95,04-2582-3568,0.8,39679,"[""11:00~21:30""]","24.20808400375,120.78771600273001",又見一炊煙
509,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.85,02-8771-8258,0.65,554804,"[""09:00~22:00"",""10:00~22:00""]","25.04048320281,121.54763840306998",向餐廳 Hsiang The Brunch
954,"[""鍋類"",""涮涮鍋""]",0.9,0.9,02-2738-2258,0.9,948242,"[""17:30~22:00"",""11:30~14:30""]","25.025476012760002,121.54956000172",香聚鍋The Dainties
66,"[""冰品、飲料、甜湯"",""剉冰、豆花""]",0.55,0.55,02-2363-4341,0.75,22268,"[""11:00~24:00""]","25.01896301324,121.53352300466",臺一牛奶大王
343,"[""異國料理"",""美式料理""]",0.9,0.85,04-2305-1698,0.75,151219,"[""17:00~22:30"",""11:00~14:30""]","24.14783200478,120.66380500912",Hot Shock 哈燒庫美式餐廳
739,"[""鍋類"",""麻辣火鍋""]",0.9,0.9,02-6613-1336,0.85,581453,"[""17:00~24:00"",""11:30~14:00""]","25.06575381486,121.52254090289",這一鍋皇室祕藏鍋物(中山北殿)
242,"[""異國料理"",""美式料理""]",0.75,0.75,04-2302-9599,0.75,155161,"[""17:30~22:00"",""11:00~14:00""]","24.148143787241462,120.6626272251938",艾可先生漢堡餐廳(勤美店)
462,"[""中式料理"",""上海菜(江浙菜)""]",0.75,0.75,02-8752-5106,0.75,937242,"[""17:30~21:00"",""11:30~14:00""]","25.077887006250002,121.57203800491003",六品小館(內湖店)
371,"[""日式料理"",""其他日式料理""]",0.75,0.7,02-2721-3328,0.8,615476,"[""11:30~14:30"",""17:30~21:30""]","25.039745000579998,121.55364401938",天吉屋
205,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.7,0.85,04-2569-2798,0.75,68248,"[""10:00~20:00""]","24.23122200201,120.64072700547",富林園洋菓子Petit  Foret(大雅店)
441,"[""日式料理"",""綜合日式料理""]",0.9,0.8,02-2721-7729,0.85,113524,"[""11:00~14:30"",""17:30~21:30""]","25.0424449062,121.55463701570996",三本味日式料理
265,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.7,04-2203-0776,0.85,37664,"[""08:00~21:30""]","24.15607000101,120.67062700582",卡但屋伴手禮專賣店(總店)
381,"[""異國料理"",""美式料理""]",0.7,0.75,02-7737-5055,0.75,109903,"[""09:00~23:00""]","25.03566600347,121.56607400172",the Diner樂子美式餐廳(信義旗艦店 ATT 4FUN)
208,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.8,04-2312-4798,0.85,31381,"[""10:00~22:30""]","24.16509000878,120.66212600109",咕咕霍夫(漢口烘焙門市)
0,"[""烘焙、甜點、零食"",""中式糕餅""]",0.8,0.75,07-343-6933,0.85,979156,"[""08:00~18:00""]","22.67934400648,120.31255111799999",九品元 芝麻可可
370,"[""異國料理"",""美式料理""]",0.9,0.85,04-2225-3866,0.75,125235,"[""17:00~22:00"",""11:00~16:00""]","24.15409595298179,120.6851577898289",愛麗絲的派對-手工披薩吃到飽童話餐廳
334,"[""咖啡、簡餐、茶"",""複合式""]",0.65,0.75,02-2775-1717,0.7,928780,"[""08:00~22:00""]","25.05070311316,121.54387500662",coffee smith(復北店)
1116,"[""燒烤類"",""炭烤串燒""]",0.9,0.85,02-2755-5200,0.95,108951,"[""17:30~22:30""]","25.03114401219,121.55168500735",油花炭火燒肉專門店
209,"[""小吃"",""其他小吃""]",0.8,0.65,02-2991-5250,0.8,66489,"[""15:00~19:00""]","25.043126008570002,121.45268301894",蔗雞王甘蔗雞
974,"[""燒烤類"",""日式燒肉""]",1,0.9,02-2775-1755,0.95,107042,"[""17:30~24:00""]","25.044453015640002,121.54573500338999",甕也燒肉(大安店)
