tel,name,tasteRate,serviceRate,environmentRate,hours,address,avgCost,rid,classify
02-2521-9822,螺絲瑪莉 Rose Mary,0,0,0,11:30~16:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.051715000850002,121.52191300095004/z=18/sid=67012/","
  本店均消  275 元",http://www.ipeen.com.tw/shop/67012-%E8%9E%BA%E7%B5%B2%E7%91%AA%E8%8E%89-Rose-Mary,"異國料理,義式料理"
02-2351-8802,和茗甘味處,0,0,0,營業時間 12:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.029831019840003,121.5293470152/z=18/sid=114069/","
  本店均消  252 元",http://www.ipeen.com.tw/shop/114069-%E5%92%8C%E8%8C%97%E7%94%98%E5%91%B3%E8%99%95,"冰品、飲料、甜湯,甜品、甜湯"
02-2731-8387,貓咪先生的朋友,0,0,0,10:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04107901354,121.54689501605995/z=18/sid=100314/","
  本店均消  331 元",http://www.ipeen.com.tw/shop/100314-%E8%B2%93%E5%92%AA%E5%85%88%E7%94%9F%E7%9A%84%E6%9C%8B%E5%8F%8B,"主題特色餐廳,寵物餐廳"
02-2550-9092,蘑菇森林義大利麵坊,0,0,0,11:30~15:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05037601933,121.51975500827001/z=18/sid=141337/","
  本店均消  337 元",http://www.ipeen.com.tw/shop/141337-%E8%98%91%E8%8F%87%E6%A3%AE%E6%9E%97%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E5%9D%8A,"異國料理,義式料理"
02-2506-0065,小六食堂,0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.059461001699997,121.53393301459/z=18/sid=141831/","
  本店均消  423 元",http://www.ipeen.com.tw/shop/141831-%E5%B0%8F%E5%85%AD%E9%A3%9F%E5%A0%82,"日式料理,其他日式料理"
02-2772-8959,炙酒食廚房,0,0,0,00:00~01:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03932700879,121.55530101742998/z=18/sid=92695/","
  本店均消  724 元",http://www.ipeen.com.tw/shop/92695-%E7%82%99%E9%85%92%E9%A3%9F%E5%BB%9A%E6%88%BF,"日式料理,綜合日式料理"
02-8792-8167,金泰日式料理,0,0,0,16:30~21:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.06887701525,121.57630801952/z=18/sid=50731/","
  本店均消  471 元",http://www.ipeen.com.tw/shop/50731-%E9%87%91%E6%B3%B0%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86,"日式料理,綜合日式料理"
02-2656-2752,the Chips美式餐廳(內湖店),0,0,0,10:00~21:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.08123200412,121.57314601425999/z=18/sid=45908/","
  本店均消  268 元",http://www.ipeen.com.tw/shop/45908-the-Chips%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3-%E5%85%A7%E6%B9%96%E5%BA%97,"異國料理,美式料理"
02-2657-4837,亞尼克菓子工房(內湖店),0,0,0,10:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.07078830216,121.57590430357004/z=18/sid=35880/","
  本店均消  264 元",http://www.ipeen.com.tw/shop/35880-%E4%BA%9E%E5%B0%BC%E5%85%8B%E8%8F%93%E5%AD%90%E5%B7%A5%E6%88%BF-%E5%85%A7%E6%B9%96%E5%BA%97,"烘焙、甜點、零食,西點烘焙、麵包"
02-2731-3833,叁和院 台灣風格飲食(忠孝旗艦店),0,0,0,11:30~24:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.0423964,121.54788980000001/z=18/sid=941562/","
  本店均消  536 元",http://www.ipeen.com.tw/shop/941562-%E5%8F%81%E5%92%8C%E9%99%A2-%E5%8F%B0%E7%81%A3%E9%A2%A8%E6%A0%BC%E9%A3%B2%E9%A3%9F-%E5%BF%A0%E5%AD%9D%E6%97%97%E8%89%A6%E5%BA%97,"中式料理,台菜餐廳"
02-8772-5728,私宅打邊爐(長安店),0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04814701028,121.54024900925/z=18/sid=43734/","
  本店均消  575 元",http://www.ipeen.com.tw/shop/43734-%E7%A7%81%E5%AE%85%E6%89%93%E9%82%8A%E7%88%90-%E9%95%B7%E5%AE%89%E5%BA%97,"鍋類,麻辣火鍋"
02-2702-9506,芒果恰恰冰館(台北光復總店),0,0,0,11:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.034267431342016,121.55717075429064/z=18/sid=84365/","
  本店均消  137 元",http://www.ipeen.com.tw/shop/84365-%E8%8A%92%E6%9E%9C%E6%81%B0%E6%81%B0%E5%86%B0%E9%A4%A8-%E5%8F%B0%E5%8C%97%E5%85%89%E5%BE%A9%E7%B8%BD%E5%BA%97,"冰品、飲料、甜湯,剉冰、豆花"
02-2711-1912,咖啡弄(忠孝店),0,0,0,12:00~21:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.043310012520003,121.54821700091/z=18/sid=33714/","
  本店均消  269 元",http://www.ipeen.com.tw/shop/33714-%E5%92%96%E5%95%A1%E5%BC%84-%E5%BF%A0%E5%AD%9D%E5%BA%97,"烘焙、甜點、零食,甜點專賣"
02-2764-8181,Drip Cafe 好滴(松菸店),0,0,0,11:30~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.043524010600002,121.56291601504998/z=18/sid=625900/","
  本店均消  340 元",http://www.ipeen.com.tw/shop/625900-Drip-Cafe-%E5%A5%BD%E6%BB%B4-%E6%9D%BE%E8%8F%B8%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-8751-3227,Journey Kaffe 覺旅咖啡,0,0,0,營業時間 08:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.08053501545,121.56821100724001/z=18/sid=74241/","
  本店均消  212 元",http://www.ipeen.com.tw/shop/74241-Journey-Kaffe-%E8%A6%BA%E6%97%85%E5%92%96%E5%95%A1,"咖啡、簡餐、茶,咖啡專賣"
02-2311-0215,瓦法奇朵Waffogato(台北車站店),0,0,0,11:30~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.044707902739997,121.51565370424/z=18/sid=979300/","
  本店均消  297 元",http://www.ipeen.com.tw/shop/979300-%E7%93%A6%E6%B3%95%E5%A5%87%E6%9C%B5Waffogato-%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97,"異國料理,義式料理"
02-2721-1119,鐵人九番料理亭,0,0,0,11:30~14:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04211600125,121.55363100608/z=18/sid=45454/","
  本店均消  361 元",http://www.ipeen.com.tw/shop/45454-%E9%90%B5%E4%BA%BA%E4%B9%9D%E7%95%AA%E6%96%99%E7%90%86%E4%BA%AD,"燒烤類,炭烤串燒"
02-2577-5881,八田頂級帝王蟹鍋物燒烤吃到飽(市民店),0,0,0,11:00~15:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.0448525,121.5512062/z=18/sid=1165268/","
  本店均消  暫無資料",http://www.ipeen.com.tw/shop/1165268-%E5%85%AB%E7%94%B0%E9%A0%82%E7%B4%9A%E5%B8%9D%E7%8E%8B%E8%9F%B9%E9%8D%8B%E7%89%A9%E7%87%92%E7%83%A4%E5%90%83%E5%88%B0%E9%A3%BD-%E5%B8%82%E6%B0%91%E5%BA%97,"燒烤類,炭烤串燒"
02-8771-8285,好米亞義法餐酒館,0,0,0,11:30~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03885991688,121.54766500289006/z=18/sid=938958/","
  本店均消  753 元",http://www.ipeen.com.tw/shop/938958-%E5%A5%BD%E7%B1%B3%E4%BA%9E%E7%BE%A9%E6%B3%95%E9%A4%90%E9%85%92%E9%A4%A8,"異國料理,其他異國料理"
02-8773-9238,Dazzling Cafe Pink(1店),0,0,0,營業時間 週一~五12:00~23:00，週六~日11:30~23:00，鹹食供應時段：週一~五12:00~14:00，18:00~21:00，週六~日11:30~14:00，18:00~21:00，甜食Last order 22:00，飲料Last order 22:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.042177005,121.55254700077/z=18/sid=72446/","
  本店均消  379 元",http://www.ipeen.com.tw/shop/72446-Dazzling-Cafe-Pink-1%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-2778-9993,the Chips美式餐廳(光復店),0,0,0,10:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.040100802690002,121.55614000387/z=18/sid=589166/","
  本店均消  416 元",http://www.ipeen.com.tw/shop/589166-the-Chips%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3-%E5%85%89%E5%BE%A9%E5%BA%97,"異國料理,美式料理"
04-2326-7339,Burger Joint 7分So 漢堡 早午餐專賣(華美店),0,0,0,08:00~22:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.15349201234,120.65914401623999/z=18/sid=102574/","
  本店均消  281 元",http://www.ipeen.com.tw/shop/102574-Burger-Joint-7%E5%88%86So-%E6%BC%A2%E5%A0%A1-%E6%97%A9%E5%8D%88%E9%A4%90%E5%B0%88%E8%B3%A3-%E8%8F%AF%E7%BE%8E%E5%BA%97,"異國料理,美式料理"
02-2585-3258#846,地中海牛排館(歐華酒店),0,0,0,11:30~14:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.068257004859998,121.52560300763001/z=18/sid=28413/","
  本店均消  2199 元",http://www.ipeen.com.tw/shop/28413-%E5%9C%B0%E4%B8%AD%E6%B5%B7%E7%89%9B%E6%8E%92%E9%A4%A8-%E6%AD%90%E8%8F%AF%E9%85%92%E5%BA%97,"異國料理,美式料理"
02-2766-9663,FrenchWindows 琺蘭綺瑥朵,0,0,0,11:30~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04177336209115,121.56582663151214/z=18/sid=937878/","
  本店均消  552 元",http://www.ipeen.com.tw/shop/937878-FrenchWindows-%E7%90%BA%E8%98%AD%E7%B6%BA%E7%91%A5%E6%9C%B5,"異國料理,義式料理"
04-2260-3520,小杏韻輕食便當,0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.1228785,120.6609821/z=18/sid=1212290/","
  本店均消  150 元",http://www.ipeen.com.tw/shop/1212290-%E5%B0%8F%E6%9D%8F%E9%9F%BB%E8%BC%95%E9%A3%9F%E4%BE%BF%E7%95%B6,"其他美食,自助餐 便當"
02-2537-7080,凱越越南風味小火鍋,0,0,0,11:30~15:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.051800418640003,121.5319889048/z=18/sid=1076932/","
  本店均消  394 元",http://www.ipeen.com.tw/shop/1076932-%E5%87%B1%E8%B6%8A%E8%B6%8A%E5%8D%97%E9%A2%A8%E5%91%B3%E5%B0%8F%E7%81%AB%E9%8D%8B,"異國料理,其他異國料理"
02-2522-2020,LeTAO小樽洋菓子舖(中山店),0,0,0,11:00~20:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05359801415,121.52219800918/z=18/sid=625832/","
  本店均消  398 元",http://www.ipeen.com.tw/shop/625832-LeTAO%E5%B0%8F%E6%A8%BD%E6%B4%8B%E8%8F%93%E5%AD%90%E8%88%96-%E4%B8%AD%E5%B1%B1%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-2771-3200,PAUL保羅麵包沙龍(仁愛店),0,0,0,08:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.038104010410002,121.55002801261/z=18/sid=43341/","
  本店均消  417 元",http://www.ipeen.com.tw/shop/43341-PAUL%E4%BF%9D%E7%BE%85%E9%BA%B5%E5%8C%85%E6%B2%99%E9%BE%8D-%E4%BB%81%E6%84%9B%E5%BA%97,"烘焙、甜點、零食,西點烘焙、麵包"
02-2716-0138,CHIFFON,0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05881900334,121.54672501539/z=18/sid=22622/","
  本店均消  284 元",http://www.ipeen.com.tw/shop/22622-CHIFFON,"烘焙、甜點、零食,西點烘焙、麵包"
02-2758-2609,好，丘 good cho's,0,0,0,營業時間 週二至週五，10:00~21:30 週六及週日，09:00~18:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03136200351,121.56191100612999/z=18/sid=91210/","
  本店均消  260 元",http://www.ipeen.com.tw/shop/91210-%E5%A5%BD-%E4%B8%98-good-cho-s,"異國料理,美式料理"
04-2451-0199,阿聰師芋頭酥的糕餅主意(台中秋紅谷館),0,0,0,09:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.169659088213706,120.63888430667397/z=18/sid=617022/","
  本店均消  214 元",http://www.ipeen.com.tw/shop/617022-%E9%98%BF%E8%81%B0%E5%B8%AB%E8%8A%8B%E9%A0%AD%E9%85%A5%E7%9A%84%E7%B3%95%E9%A4%85%E4%B8%BB%E6%84%8F-%E5%8F%B0%E4%B8%AD%E7%A7%8B%E7%B4%85%E8%B0%B7%E9%A4%A8,"烘焙、甜點、零食,中式糕餅"
02-2555-9292,新丼,0,0,0,11:30~21:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05021091546,121.51959001763/z=18/sid=958016/","
  本店均消  227 元",http://www.ipeen.com.tw/shop/958016-%E6%96%B0%E4%B8%BC,"日式料理,日式豬排專賣"
02-2522-4608,Aranzi Aronzo Cafe 阿朗基阿龍佐(南西店),0,0,0,11:00~21:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05237700175,121.52069960457995/z=18/sid=126881/","
  本店均消  276 元",http://www.ipeen.com.tw/shop/126881-Aranzi-Aronzo-Cafe-%E9%98%BF%E6%9C%97%E5%9F%BA%E9%98%BF%E9%BE%8D%E4%BD%90-%E5%8D%97%E8%A5%BF%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-2364-1666,貳樓餐廳 Second Floor Cafe(公館店),0,0,0,08:00~23:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.01573971858,121.53168801384003/z=18/sid=88698/","
  本店均消  362 元",http://www.ipeen.com.tw/shop/88698-%E8%B2%B3%E6%A8%93%E9%A4%90%E5%BB%B3-Second-Floor-Cafe-%E5%85%AC%E9%A4%A8%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-2627-0708,Aqua Kiss 水吻2(Surfer店),0,0,0,11:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.08009561379,121.56727650471993/z=18/sid=587282/","
  本店均消  401 元",http://www.ipeen.com.tw/shop/587282-Aqua-Kiss-%E6%B0%B4%E5%90%BB2-Surfer%E5%BA%97,"主題特色餐廳,運動主題餐廳"
02-2700-9855,貳樓餐廳 Second Floor Cafe(敦南店),0,0,0,08:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03081800824,121.55000800696/z=18/sid=36695/","
  本店均消  351 元",http://www.ipeen.com.tw/shop/36695-%E8%B2%B3%E6%A8%93%E9%A4%90%E5%BB%B3-Second-Floor-Cafe-%E6%95%A6%E5%8D%97%E5%BA%97,"咖啡、簡餐、茶,複合式"
02-2181-9999,君品酒店-雲軒西餐廳,0,0,0,營業時間 11:30~14:30，18:00~21:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.049456217960003,121.51687040599002/z=18/sid=78277/","
  本店均消  1392 元",http://www.ipeen.com.tw/shop/78277-%E5%90%9B%E5%93%81%E9%85%92%E5%BA%97-%E9%9B%B2%E8%BB%92%E8%A5%BF%E9%A4%90%E5%BB%B3,"buffet自助餐,複合式"
02-2370-7078,添好運台灣 Timhowan Taiwan,0,0,0,10:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04612451134,121.51694010578005/z=18/sid=965236/","
  本店均消  457 元",http://www.ipeen.com.tw/shop/965236-%E6%B7%BB%E5%A5%BD%E9%81%8B%E5%8F%B0%E7%81%A3-Timhowan-Taiwan,"中式料理,粵菜 港式飲茶"
04-2301-3949,K5樂活冰品館(台中旗艦店),0,0,0,12:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.15059341135835,120.66146424275348/z=18/sid=134025/","
  本店均消  115 元",http://www.ipeen.com.tw/shop/134025-K5%E6%A8%82%E6%B4%BB%E5%86%B0%E5%93%81%E9%A4%A8-%E5%8F%B0%E4%B8%AD%E6%97%97%E8%89%A6%E5%BA%97,"主題特色餐廳,食補藥膳餐廳"
02-2731-9966,Mosun 墨賞新鐵板料理,0,0,0,11:30~14:30、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04174601704,121.5500110094/z=18/sid=118974/","
  本店均消  1317 元",http://www.ipeen.com.tw/shop/118974-Mosun-%E5%A2%A8%E8%B3%9E%E6%96%B0%E9%90%B5%E6%9D%BF%E6%96%99%E7%90%86,"燒烤類,鐵板燒"
02-8751-3332,Howfun好飯食堂(瑞光店),0,0,0,11:30~21:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.0797553197,121.56749550616/z=18/sid=601656/","
  本店均消  361 元",http://www.ipeen.com.tw/shop/601656-Howfun%E5%A5%BD%E9%A3%AF%E9%A3%9F%E5%A0%82-%E7%91%9E%E5%85%89%E5%BA%97,"異國料理,西班牙料理"
02-8286-8826,石窯屋 Forno Pizzeria No-1,0,0,0,11:30~14:30、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.08574001645,121.46175700665/z=18/sid=581595/","
  本店均消  460 元",http://www.ipeen.com.tw/shop/581595-%E7%9F%B3%E7%AA%AF%E5%B1%8B-Forno-Pizzeria-No-1,"異國料理,義式料理"
02-2395-6583,8%ice 冰淇淋專門店,0,0,0,營業時間 12:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03255940624,121.53022700403997/z=18/sid=596256/","
  本店均消  102 元",http://www.ipeen.com.tw/shop/596256-8-ice-%E5%86%B0%E6%B7%87%E6%B7%8B%E5%B0%88%E9%96%80%E5%BA%97,"冰品、飲料、甜湯,冰淇淋"
02-2700-3501,Le Ruban patisserie法朋烘培甜點坊,0,0,0,營業時間 12:00~20:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.03631871812,121.55360210572/z=18/sid=587120/","
  本店均消  303 元",http://www.ipeen.com.tw/shop/587120-Le-Ruban-patisserie%E6%B3%95%E6%9C%8B%E7%83%98%E5%9F%B9%E7%94%9C%E9%BB%9E%E5%9D%8A,"烘焙、甜點、零食,西點烘焙、麵包"
02-2731-7897,屯京拉麵(台北敦南店),0,0,0,營業時間 11:00~23:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04243401027,121.55116301156/z=18/sid=107516/","
  本店均消  261 元",http://www.ipeen.com.tw/shop/107516-%E5%B1%AF%E4%BA%AC%E6%8B%89%E9%BA%B5-%E5%8F%B0%E5%8C%97%E6%95%A6%E5%8D%97%E5%BA%97,"日式料理,日式麵食專賣"
02-2775-3393,美好年代,0,0,0,11:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04329470992,121.54507101152001/z=18/sid=597140/","
  本店均消  381 元",http://www.ipeen.com.tw/shop/597140-%E7%BE%8E%E5%A5%BD%E5%B9%B4%E4%BB%A3,"異國料理,義式料理"
02-2711-1726,Trattoria di Primo,0,0,0,11:30~22:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04347300069,121.54502501386999/z=18/sid=45137/","
  本店均消  626 元",http://www.ipeen.com.tw/shop/45137-Trattoria-di-Primo,"異國料理,義式料理"
02-2509-1618,葛來呷 GOLAIJA 輕食飲料手作甜點,0,0,0,10:00~19:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.052682710539997,121.53530740782999/z=18/sid=1145228/","
  本店均消  650 元",http://www.ipeen.com.tw/shop/1145228-%E8%91%9B%E4%BE%86%E5%91%B7-GOLAIJA-%E8%BC%95%E9%A3%9F%E9%A3%B2%E6%96%99%E6%89%8B%E4%BD%9C%E7%94%9C%E9%BB%9E,"咖啡、簡餐、茶,複合式"
04-2708-2268,先麥芋頭酥(台中中港店),0,0,0,08:30~22:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.168183019529998,120.64082300102/z=18/sid=37453/","
  本店均消  224 元",http://www.ipeen.com.tw/shop/37453-%E5%85%88%E9%BA%A5%E8%8A%8B%E9%A0%AD%E9%85%A5-%E5%8F%B0%E4%B8%AD%E4%B8%AD%E6%B8%AF%E5%BA%97,"烘焙、甜點、零食,西點烘焙、麵包"
02-2364-9777,Color C'ode,0,0,0,12:00~20:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.022213617793735,121.5266006008417/z=18/sid=636234/","
  本店均消  393 元",http://www.ipeen.com.tw/shop/636234-Color-C-ode,"烘焙、甜點、零食,西點烘焙、麵包"
02-2596-9568,涮鮮日式火鍋(民權旗艦店),0,0,0,00:00~01:00、,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.06282181323,121.52547790403995/z=18/sid=47480/","
  本店均消  315 元",http://www.ipeen.com.tw/shop/47480-%E6%B6%AE%E9%AE%AE%E6%97%A5%E5%BC%8F%E7%81%AB%E9%8D%8B-%E6%B0%91%E6%AC%8A%E6%97%97%E8%89%A6%E5%BA%97,"鍋類,涮涮鍋"
02-2711-7181,溫古咖啡Wengu cafe,0,0,0,營業時間 平日13:00~21:30，假日12:00~21:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.04344600905,121.54776700013/z=18/sid=139031/","
  本店均消  271 元",http://www.ipeen.com.tw/shop/139031-%E6%BA%AB%E5%8F%A4%E5%92%96%E5%95%A1Wengu-cafe,"咖啡、簡餐、茶,咖啡專賣"
02-2563-9293,龍都酒樓,0,0,0,11:00~22:00,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.05037600789,121.52449900567001/z=18/sid=6500/","
  本店均消  746 元",http://www.ipeen.com.tw/shop/6500-%E9%BE%8D%E9%83%BD%E9%85%92%E6%A8%93,"中式料理,粵菜 港式飲茶"
02-8751-9987,轉角關東煮 かどおでん,0,0,0,未設定,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.08098100926,121.57726601809/z=18/sid=82595/","
  本店均消  246 元",http://www.ipeen.com.tw/shop/82595-%E8%BD%89%E8%A7%92%E9%97%9C%E6%9D%B1%E7%85%AE-%E3%81%8B%E3%81%A9%E3%81%8A%E3%81%A7%E3%82%93,"日式料理,其他日式料理"
02-2700-1680,the Diner樂子美式餐廳(瑞安店),0,0,0,08:00~22:30,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=25.026593009139997,121.53960000324/z=18/sid=16548/","
  本店均消  277 元",http://www.ipeen.com.tw/shop/16548-the-Diner%E6%A8%82%E5%AD%90%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3-%E7%91%9E%E5%AE%89%E5%BA%97,"異國料理,美式料理"
04-2262-5756,正昇豆腐乳,0,0,0,營業時間 暫無提供,"/map/#!/s=0/f=0|0|0|0|0|10|0|0|0/c=24.09550320168,120.65611081764/z=18/sid=1096400/","
  本店均消  暫無資料",http://www.ipeen.com.tw/shop/1096400-%E6%AD%A3%E6%98%87%E8%B1%86%E8%85%90%E4%B9%B3,"其他美食,其他美食"
